"","wt","disp"
"Mazda RX4",2.62,160
"Mazda RX4 Wag",2.875,160
"Datsun 710",2.32,108
"Hornet 4 Drive",3.215,258
"Hornet Sportabout",3.44,360
"Valiant",3.46,225
"Duster 360",3.57,360
"Merc 240D",3.19,146.7
"Merc 230",3.15,140.8
"Merc 280",3.44,167.6
"Merc 280C",3.44,167.6
"Merc 450SE",4.07,275.8
"Merc 450SL",3.73,275.8
"Merc 450SLC",3.78,275.8
"Cadillac Fleetwood",5.25,472
"Lincoln Continental",5.424,460
"Chrysler Imperial",5.345,440
"Fiat 128",2.2,78.7
"Honda Civic",1.615,75.7
"Toyota Corolla",1.835,71.1
"Toyota Corona",2.465,120.1
"Dodge Challenger",3.52,318
"AMC Javelin",3.435,304
"Camaro Z28",3.84,350
"Pontiac Firebird",3.845,400
"Fiat X1-9",1.935,79
"Porsche 914-2",2.14,120.3
"Lotus Europa",1.513,95.1
"Ford Pantera L",3.17,351
"Ferrari Dino",2.77,145
"Maserati Bora",3.57,301
"Volvo 142E",2.78,121
